"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","10 Jul 2018","9321.45","9365.15","9305.40","9359.40"
"NIFTY 500","09 Jul 2018","9250.40","9281.30","9231.80","9277.95"
"NIFTY 500","06 Jul 2018","9160.70","9233.00","9153.40","9194.50"
"NIFTY 500","05 Jul 2018","9207.60","9207.60","9153.45","9166.60"
"NIFTY 500","04 Jul 2018","9158.80","9200.25","9123.60","9194.55"
"NIFTY 500","03 Jul 2018","9113.85","9156.35","9078.80","9149.40"
"NIFTY 500","02 Jul 2018","9185.20","9186.55","9060.60","9109.00"
"NIFTY 500","29 Jun 2018","9065.90","9167.50","9065.55","9162.45"
"NIFTY 500","28 Jun 2018","9119.85","9125.60","9018.05","9036.95"
"NIFTY 500","27 Jun 2018","9246.50","9246.50","9110.25","9129.25"
"NIFTY 500","26 Jun 2018","9217.05","9261.70","9209.85","9231.80"
"NIFTY 500","25 Jun 2018","9297.65","9310.50","9225.35","9234.40"
"NIFTY 500","22 Jun 2018","9241.15","9307.25","9204.05","9296.65"
"NIFTY 500","21 Jun 2018","9305.05","9307.00","9229.80","9240.25"
"NIFTY 500","20 Jun 2018","9255.00","9286.65","9239.05","9276.40"
"NIFTY 500","19 Jun 2018","9305.40","9305.40","9225.75","9234.50"
"NIFTY 500","18 Jun 2018","9350.65","9354.05","9311.35","9318.55"
"NIFTY 500","15 Jun 2018","9358.35","9376.65","9303.25","9343.70"
"NIFTY 500","14 Jun 2018","9372.30","9372.55","9322.50","9356.65"
"NIFTY 500","13 Jun 2018","9421.00","9423.20","9382.55","9386.40"
"NIFTY 500","12 Jun 2018","9355.65","9394.90","9338.30","9386.45"
"NIFTY 500","11 Jun 2018","9334.45","9386.15","9324.30","9332.40"
"NIFTY 500","08 Jun 2018","9275.20","9324.70","9254.30","9316.25"
"NIFTY 500","07 Jun 2018","9244.70","9327.85","9243.70","9300.10"
"NIFTY 500","06 Jun 2018","9114.20","9214.30","9096.00","9205.90"
"NIFTY 500","05 Jun 2018","9176.65","9178.30","9072.65","9110.50"
"NIFTY 500","04 Jun 2018","9308.30","9310.90","9167.95","9175.90"
"NIFTY 500","01 Jun 2018","9317.80","9334.70","9245.55","9255.25"
"NIFTY 500","31 May 2018","9299.40","9333.65","9249.20","9315.35"
"NIFTY 500","30 May 2018","9220.80","9283.55","9209.85","9255.00"
"NIFTY 500","29 May 2018","9309.95","9337.25","9250.50","9270.60"
"NIFTY 500","28 May 2018","9256.80","9320.10","9251.80","9307.55"
"NIFTY 500","25 May 2018","9135.05","9230.70","9126.60","9215.55"
"NIFTY 500","24 May 2018","9098.75","9130.95","9046.70","9115.55"
"NIFTY 500","23 May 2018","9136.65","9151.80","9059.35","9069.80"
"NIFTY 500","22 May 2018","9110.65","9152.25","9080.35","9145.65"
"NIFTY 500","21 May 2018","9221.10","9224.95","9099.85","9108.70"
"NIFTY 500","18 May 2018","9298.95","9300.55","9200.30","9209.20"
"NIFTY 500","17 May 2018","9359.15","9360.15","9290.30","9304.45"
"NIFTY 500","16 May 2018","9324.70","9365.00","9275.60","9328.70"
"NIFTY 500","15 May 2018","9391.10","9490.80","9341.20","9365.90"
"NIFTY 500","14 May 2018","9425.25","9432.40","9371.45","9389.95"
"NIFTY 500","11 May 2018","9385.80","9421.35","9356.00","9416.35"
"NIFTY 500","10 May 2018","9444.65","9448.50","9351.50","9360.95"
"NIFTY 500","09 May 2018","9401.20","9443.15","9399.45","9418.90"
"NIFTY 500","08 May 2018","9451.90","9452.45","9396.75","9419.85"
"NIFTY 500","07 May 2018","9371.70","9424.40","9353.30","9418.80"
"NIFTY 500","04 May 2018","9402.50","9402.50","9327.30","9339.75"
"NIFTY 500","03 May 2018","9442.10","9442.20","9355.05","9388.65"
"NIFTY 500","02 May 2018","9531.60","9531.65","9416.50","9444.50"
"NIFTY 500","30 Apr 2018","9464.00","9503.60","9463.20","9496.50"
"NIFTY 500","27 Apr 2018","9412.95","9467.05","9410.45","9443.65"
"NIFTY 500","26 Apr 2018","9368.75","9388.85","9339.65","9381.35"
"NIFTY 500","25 Apr 2018","9387.45","9393.50","9323.40","9349.95"
"NIFTY 500","24 Apr 2018","9375.95","9403.40","9359.05","9390.40"
"NIFTY 500","23 Apr 2018","9366.80","9410.90","9324.00","9373.40"
"NIFTY 500","20 Apr 2018","9349.20","9359.10","9315.15","9347.65"
"NIFTY 500","19 Apr 2018","9345.65","9360.80","9328.50","9356.40"
"NIFTY 500","18 Apr 2018","9359.10","9366.75","9295.75","9311.60"
"NIFTY 500","17 Apr 2018","9339.40","9340.50","9287.60","9330.30"
"NIFTY 500","16 Apr 2018","9205.05","9317.85","9202.80","9311.30"
"NIFTY 500","13 Apr 2018","9276.65","9304.10","9240.70","9267.65"
"NIFTY 500","12 Apr 2018","9226.45","9263.35","9210.25","9247.25"
"NIFTY 500","11 Apr 2018","9242.30","9242.30","9179.85","9230.85"
"NIFTY 500","10 Apr 2018","9237.80","9246.45","9199.20","9219.15"
"NIFTY 500","09 Apr 2018","9179.20","9223.35","9175.90","9205.20"
"NIFTY 500","06 Apr 2018","9148.45","9183.45","9116.55","9172.05"
"NIFTY 500","05 Apr 2018","9069.05","9150.85","9068.40","9146.15"
"NIFTY 500","04 Apr 2018","9105.50","9120.10","8962.45","8975.60"
"NIFTY 500","03 Apr 2018","9004.90","9082.05","8997.70","9074.85"
"NIFTY 500","02 Apr 2018","8949.45","9030.70","8933.45","9023.60"
